University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,Department_clean
Washington University in St. Louis (Wash U),Olin Business School,25000,1.21,2016-2017,2nd,business
University of Pennsylvania,Biology,29500,1.22,2016-2017,3rd,biology
Carnegie Mellon University (CMU),Materials Science & Engineering,28800,1.39,2016-2017,1st,materials science & engineering
University of California - Davis (UCD),Biostatistics,20000,0.83,2016-2017,1st,biostatistics
Purdue University - West Lafayette,Agricultural Economics,22697,1.07,2016-2017,2nd,agriculture
University of Southern California (USC),American Studies,26000,1,2016-2017,1st,american studies
University of Colorado - Denver (UCD),Cancer Biology,28500,1.27,2016-2017,3rd,biology
Stanford University (SU),Materials Science and Engineering,44300,1.54,2016-2017,1st,materials science and engineering
University of Wisconsin - Madison (UW),Pharmaceutical,25000,1.09,2016-2017,1st,pharmacyceutical
University of California - Santa Barbara (UCSB),Philosophy,17000,0.65,2016-2017,4th,philosophy
University of South Carolina (USC),Chemistry and Biochemistry,23652,1.05,2016-2017,1st,chemistry
Carnegie Mellon University (CMU),Materials Science and Engineering,28800,1.39,2016-2017,1st,materials science and engineering
University of Pennsylvania,Chemical Engineering,31500,1.31,2016-2017,1st,chemical engineering
Utah State University (USU),Kinesiology and Health Science,19300,0.93,2016-2017,4th,health
University of Pennsylvania,Sociology,27468,1.14,2016-2017,2nd,sociology
University of Southern California (USC),Cinema & Media Studies,29500,1.14,2016-2017,1st,cinema & media studies
Cornell University (CU),Materials Science and Engineering,33000,1.36,2016-2017,1st,materials science and engineering
University of California - Berkeley,Materials Science and Engineering,33400,1.2,2016-2017,1st,materials science and engineering
Stanford University (SU),Materials Science and Engineering,33000,1.15,2016-2017,1st,materials science and engineering
Stanford University (SU),Materials Science and Engineering,38800,1.35,2016-2017,1st,materials science and engineering
University of Arkansas - Fayetteville,department of poultry science,21000,1.05,2016-2017,NA,department of poultry science
University of Illinois - Urbana- Champaign (UIUC),Chemistry,24120,1.1,2016-2017,1st,chemistry
Michigan State University (MSU),Electrical and Computer Engineering,19146,0.93,2016-2017,4th,computer science
University of Florida (UF),Materials Science and Engineering,28233,1.24,2016-2017,1st,materials science and engineering
University of Central Florida (UCF),Mechanical and Aerospace Engineering,15000,0.65,2016-2017,5th,aerospace
University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,30000,1.35,2016-2017,1st,biomedical engineering
University of California - Los Angeles (UCLA),Bioengineering,25600,0.99,2016-2017,NA,bioengineering
West Virginia University (WVU),Finance,22800,1.02,2016-2017,4th,finance
Rice University,Chemical & Biomolecular Engineering,28500,1.3,2016-2017,1st,chemical & biomolecular engineering
University of Delaware (UD),biomedical engineering,28000,1.1,2016-2017,1st,biomedical engineering
University of Alabama - Birmingham (UAB),Biostatistics,18000,0.84,2016-2017,3rd,biostatistics
Georgetown University,Government,25000,0.81,2016-2017,1st,government
University of Minnesota - Twin Cities (UM),Public Affairs,24000,1.05,2016-2017,2nd,public affairs
Florida International University (FIU),Biology,20291,0.85,2016-2017,1st,biology
Northwestern University (NU),Chemical,30000,1.24,2016-2017,NA,chemical
Cornell University (CU),Biophysics,30600,1.26,2015-2016,4th,physics
University of North Carolina - Chapel Hill (UNC),Curriculum in Toxicology,29000,1.3,2016-2017,4th,curriculum in toxicology
University of Utah,Oncological Sciences,27000,1.21,2016-2017,5th,oncological sciences
University of Southern Mississippi (USM),Polymer Science and Engineering,25000,1.17,2016-2017,1st,polymer science and engineering
University of Minnesota - Twin Cities (UM),NA,26500,1.16,2016-2017,3rd,NA
San Diego State University (SDSU),Ecology,16254,0.61,2016-2017,2nd,ecology
University of Wisconsin - Milwaukee (UWM),Administrative Leadership,12455,0.58,2016-2017,1st,administrative leadership
Northwestern University (NU),Chemistry,31716,1.31,2016-2017,1st,chemistry
Georgia Institute of Technology (Georgia Tech),Chemistry,23500,1.01,2016-2017,NA,chemistry
Purdue University - West Lafayette,Biomedical Engineering,13500,0.64,2016-2017,1st,biomedical engineering
University of Minnesota - Twin Cities (UM),chemical physics,29600,1.29,2016-2017,NA,physics
Northwestern University (NU),Psychology,30000,1.24,2016-2017,1st,psychology
Ohio State University (OSU),Veterinary preventive medicine,26000,1.3,2016-2017,3rd,veterinary preventive medicine
Old Dominion University (ODU),Computer Science,19000,0.72,2016-2017,1st,computer science
University of Wisconsin - Madison (UW),Cellular and Molecular  Biology,24800,1.09,2016-2017,1st,biology
University of Texas Medical Branch - Galveston,Microbiology and Immunology,27900,1.28,2016-2017,5th,biology
Emory University,Genetics and Molecular Biology,28750,1.23,2016-2017,1st,biology
Georgia Institute of Technology (Georgia Tech),Mechanical,23300,1,2016-2017,1st,mechanical
University of Kansas (KU),NA,19000,0.93,2016-2017,NA,NA
University of Kentucky (UK),Rehabilitation Sciences,27091,1.33,2016-2017,1st,rehabilitation sciences
Lamar University,Chemical engineering,16800,0.82,2016-2017,1st,chemical engineering
University of Michigan - Ann Arbor (UM),Oral Health Science,30000,1.3,2016-2017,1st,health
Baylor College of Medicine,c,29950,1.37,2016-2017,1st,c
Cornell University (CU),chemistry,28000,1.15,2016-2017,1st,chemistry
University of California - Los Angeles (UCLA),Chemistry,30500,1.18,2016-2017,1st,chemistry
Boston University (BU),Bme,32500,1.13,2016-2017,1st,bme
University of Kentucky (UK),IBS,25000,1.22,2016-2017,1st,ibs
University of Kentucky (UK),Health Sciences,14280,0.7,2016-2017,1st,health
University of Kentucky (UK),University Counseling Center,28000,1.37,2016-2017,5th,university counseling center
University of Kentucky (UK),Biochemistry,25000,1.22,2016-2017,4th,chemistry
University of Kentucky (UK),Mechanical Engineering,17250,0.85,2016-2017,3rd,mechanical engineering
University of Kentucky (UK),Forestry,13750,0.67,2016-2017,2nd,forestry
University of Kentucky (UK),Chemistry,22880,1.12,2016-2017,2nd,chemistry
University of Kentucky (UK),College of Pharmacy,23500,1.15,2016-2017,1st,pharmacycy
University of Kentucky (UK),Plant Pathology,19700,0.97,2016-2017,1st,agriculture
University of Kentucky (UK),Chemistry,17347,0.85,2015-2016,1st,chemistry
University of Kentucky (UK),Chemistry,22500,1.1,2016-2017,1st,chemistry
University of Kentucky (UK),College of Pharmacy,29000,1.42,2016-2017,1st,pharmacycy
University of Kentucky (UK),Plant Pathology,20000,0.98,2016-2017,1st,agriculture
University at Albany - SUNY,Political Science,17350,0.76,2016-2017,1st,political science
University of Kentucky (UK),Pharmaceutical Sciences,23985,1.17,2016-2017,3rd,pharmacyceutical sciences
Georgetown University,Biology,30500,0.99,2016-2017,5th,biology
Georgetown University,Pharmacology,29000,0.94,2016-2017,3rd,pharmacycology
University of Chicago (UC),Geophysical Sciences,31500,1.3,2016-2017,1st,geoscience
University of California - San Francisco (UCSF),Bioinformatics,36000,1.2,2016-2017,2nd,bioinformatics
University of North Carolina - Chapel Hill (UNC),Information Science,16000,0.72,2016-2017,1st,information science
University of Toledo,Physiology and Pharmacology,21220,1.13,2016-2017,2nd,pharmacycology
University of North Texas (UNT),Chemistry,19100,0.89,2016-2017,2nd,chemistry
University of South Carolina (USC),Mechanical Engineering,16500,0.73,2016-2017,1st,mechanical engineering
Utah State University (USU),Electrical and Computer Engineering,19250,0.93,2016-2017,5th,computer science
University of Kentucky (UK),Animal and Food Sciences,21000,1.03,2016-2017,1st,animal and food sciences
North Dakota State University (NDSU),Agricultural and Biosystems Engineering,15200,0.79,2016-2017,1st,agriculture
Oklahoma State University (OSU),Biosystems and Agricultural Engineering,21600,1.11,2016-2017,1st,agriculture
University of Mississippi (Ole Miss),Biomolecular Science(School of Pharmacy),21500,0.99,2016-2017,5th,pharmacycy)
Washington State University (WSU),NA,28000,1.48,2016-2017,4th,NA
University of Oklahoma (OU),Electrical and Computer Engineering,14800,0.74,2016-2017,1st,computer science
University of Kentucky (UK),Entomology,17500,0.86,2016-2017,2nd,entomology
University of Kentucky (UK),Entomology,20000,0.98,2016-2017,1st,entomology
University of Kentucky (UK),Entomology,17887,0.88,2016-2017,1st,entomology
Ohio State University (OSU),Public Health: Environmental Health Sciences,15546,0.77,2016-2017,3rd,health
Temple University (TU),Educational Psychology,25000,1.04,2016-2017,6th and up,psychology
Northwestern University (NU),Chemistry,29600,1.22,2015-2016,1st,chemistry
Temple University (TU),Fine art,14000,0.58,2015-2016,2nd,fine art
University of Kentucky (UK),Animal and Food Sciences,14850,0.73,2016-2017,2nd,animal and food sciences
Indiana University,Biology - EEB,25000,1.16,2016-2017,2nd,biology
University of Kentucky (UK),Animal and Food Sciences,18000,0.88,2016-2017,2nd,animal and food sciences
Temple University (TU),Anthropology,20652,0.86,2016-2017,3rd,anthropology
Johns Hopkins University (JHU),Human Genetics,31006,1.21,2016-2017,5th,biology
University of Florida (UF),Computer and Information Science and Engineering,18000,0.79,2016-2017,3rd,computer science
University of Texas - Dallas (UTD),Physics,22800,1.06,2016-2017,NA,physics
University of Memphis,computer Science,13800,0.62,2016-2017,1st,computer science
Louisiana State University School of Medicine - New Orleans,Genetics,23400,1.02,2016-2017,5th,biology
Harvard University (HU),Biological and Biomedical Sciences,35850,1.25,2016-2017,NA,biological and biomedical sciences
University of Cincinnati (UC),Molecular and Developmental Biology,27250,1.41,2016-2017,1st,biology
Duke University (DU),MEMS,34000,1.53,2016-2017,1st,mems
North Carolina State University (NCSU),Education,14314,0.63,2016-2017,2nd,education
CUNY - Hunter College,Computer science,20000,0.67,2016-2017,6th and up,computer science
University of Oregon (UO),Chemistry,25000,1.19,2016-2017,5th,chemistry
Georgia Institute of Technology (Georgia Tech),"School of Biological Sciences (Biology, Bioinformatics, Quantitative Biosciences, Applied Physiology)",22250,0.96,2016-2017,1st,biology
University of Kentucky (UK),Entomology,20000,0.98,2016-2017,2nd,entomology
North Dakota State University (NDSU),ECS,16133,0.84,2016-2017,2nd,ecs
University of Michigan - Ann Arbor (UM),Aerospace Engineering,29605,1.28,2016-2017,4th,aerospace
University of Kentucky (UK),Mathematics,16250,0.8,2016-2017,1st,mathematics
University of Kentucky (UK),Nursing,24700,1.21,2016-2017,4th,nursing
Temple University (TU),Electrical Engineering,20839,0.86,2016-2017,4th,electrical engineering
University of Kentucky (UK),Biochemistry,25000,1.22,2016-2017,2nd,chemistry
University of Kentucky (UK),Animal and Food Sciences,18000,0.88,2016-2017,3rd,animal and food sciences
Temple University (TU),Political Science,24000,1,2016-2017,4th,political science
Louisiana State University - Baton Rouge,French Studies,22000,1.01,2016-2017,NA,french studies
Rockefeller University,NA,38000,1.28,2016-2017,5th,NA
University of Texas - El Paso (UTEP),Chemistry,24000,1.15,2016-2017,2nd,chemistry
Harvard University (HU),Neurobiology,36720,1.28,2016-2017,3rd,biology
Harvard University (HU),department of medical sciences,30550,1.07,2016-2017,6th and up,department of medical sciences
Vanderbilt University,Civil Engineering,28200,1.23,2016-2017,NA,civil engineering
University of California - San Diego (UCSD),Bioinformatics,32000,1.21,2016-2017,4th,bioinformatics
University of Arizona (U of A),Chemistry,22520,1.09,2016-2017,3rd,chemistry
Harvard University (HU),SEAS,35000,1.22,2016-2017,6th and up,seas
Indiana University,Psychological and Brain Sciences,21800,1.01,2016-2017,NA,psychology
Polytechnic Institute of New York University,Civil and Urban Engineering,33000,1.11,2016-2017,NA,civil and urban engineering
University of Central Florida (UCF),chemistry,16500,0.71,2016-2017,NA,chemistry
Emory University,Business,30200,1.3,2015-2016,3rd,business
Purdue University - West Lafayette,Management,19300,0.91,2016-2017,1st,management
University of Virginia (UVA),mechanical engineering,25000,1.09,2016-2017,1st,mechanical engineering
Rutgers the State University of New Jersey - Newark,Center for Molecular and Behavioral Neuroscience,29600,1.09,2016-2017,2nd,neuro
Georgia Institute of Technology (Georgia Tech),BMEd,25500,1.09,2016-2017,NA,bmed
Pennsylvania State University (Penn State),ARL Walker,27000,1.2,2016-2017,2nd,arl walker
University of Utah,Bioscience PhD Programs,27000,1.21,2016-2017,1st,bioscience phd programs
Rice University,Statistics,24140,1.1,2016-2017,1st,statistics
University of North Carolina - Chapel Hill (UNC),BBSP,27200,1.22,2016-2017,1st,bbsp
University of Southern California (USC),Comparative Studies in Literature and Culture,29825,1.15,2016-2017,6th and up,comparative studies in literature and culture
University of Southern California (USC),NGP,33000,1.28,2016-2017,1st,ngp
Purdue University - West Lafayette,Finance,19967,0.94,2016-2017,2nd,finance
Rutgers the State University of New Jersey - New Brunswick,neuroscience,30000,1.16,2016-2017,1st,neuro
University of Southern California (USC),Neuroscience,31000,1.2,2016-2017,1st,neuro
University of Delaware (UD),NA,23680,0.93,2016-2017,NA,NA
University of Alabama (UA),Math,18500,0.88,2016-2017,4th,math
University of Alabama (UA),Mathematics,20744,0.99,2016-2017,1st,mathematics
University of Alabama (UA),Mathematics,20374,0.97,2016-2017,1st,mathematics
Michigan Technological University (MTU),MECHANICAL,28000,1.38,2016-2017,1st,mechanical
California Institute of Technology (Caltech),natural science,31200,1.32,2012-2013,3rd,natural science
Kent State University (KSU),Computer Science,15000,0.76,2016-2017,2nd,computer science
University of Virginia (UVA),Religious Studies,24000,1.05,2016-2017,1st,religious studies
University of Massachusetts - Amherst (UMass),Mechanical Engineering,22469,0.98,2016-2017,2nd,mechanical engineering
Ohio State University (OSU),Materials science and engineering,26600,1.33,2016-2017,1st,materials science and engineering
University of Rochester (UR),political  science,25000,1.17,2016-2017,5th,political  science
Stanford University (SU),biotech,20000,0.7,2016-2017,1st,biotech
University of Florida (UF),Soil and Water Science,19600,0.86,2016-2017,3rd,agriculture
University of Texas - Austin (UT),ICES,24000,1.05,2016-2017,1st,ices
Oklahoma State University (OSU),biochemistry and molecular biology,16000,0.82,2016-2017,1st,biology
Harvard University (HU),Biological and Biomedical Sciences,36720,1.28,2016-2017,2nd,biological and biomedical sciences
University of California - Los Angeles (UCLA),"Biochemistry, Molecular, and Structural Biology",30500,1.18,2016-2017,1st,biology
Iowa State University (ISU),Business,26000,1.22,2016-2017,1st,business
Baylor College of Medicine,Immunology,28750,1.32,2016-2017,1st,immunology
University of Chicago (UC),Sociology,25872,1.07,2016-2017,2nd,sociology
Case Western Reserve University,English,16000,0.8,2016-2017,NA,english
Virginia Tech,Computer SCience,21050,1,2016-2017,NA,computer science
University of South Dakota,Basic Biomedical Sciences,24107,1.21,2016-2017,1st,basic biomedical sciences
Drexel University (DU),Biology,21000,0.87,2016-2017,1st,biology
Temple University (TU),Fox school of Business,30050,1.25,2016-2017,1st,business
Texas Tech University (TTU),English,15100,0.74,2016-2017,4th,english
West Virginia University (WVU),biology,25000,1.12,2016-2017,1st,biology
Middle Tennessee State University (MTSU),Economics PHD,13300,0.58,2016-2017,1st,economics phd
Florida Institute of Technology,chemical,20000,0.95,2016-2017,NA,chemical
Tufts University (TU),mechanical engineering,24000,0.86,2016-2017,1st,mechanical engineering
Albany Medical College,Immunology and Microbiology,24000,1.05,2016-2017,1st,biology
University of Florida (UF),Statistics,23500,1.03,2016-2017,2nd,statistics
South Dakota State University (SDSU),Life Science,18500,0.98,2016-2017,1st,life science
Temple University (TU),Accounting,37250,1.55,2016-2017,1st,accounting
Virginia Tech,TBMH,27000,1.28,2016-2017,2nd,tbmh
University of Texas Health Science Center - San Antonio,Translational Science,24000,1.16,2016-2017,3rd,translational science
University of California - Davis (UCD),Political Science,26000,1.08,2016-2017,1st,political science
Florida Atlantic University (FAU),Aademic Affairs,32232,1.35,2016-2017,6th and up,aademic affairs
Oregon Health and Science University,biomedcal engineering,28000,1.2,2016-2017,1st,biomedcal engineering
University of North Carolina - Chapel Hill (UNC),Cell Biology & Physiology,28500,1.28,2016-2017,6th and up,biology
University of North Carolina - Chapel Hill (UNC),Neuroscience,29000,1.3,2016-2017,1st,neuro
University of North Carolina - Chapel Hill (UNC),Pharmacology,29000,1.3,2016-2017,6th and up,pharmacycology
University of North Carolina - Chapel Hill (UNC),Genetics and Molecular Biology,29000,1.3,2016-2017,NA,biology
University at Albany - SUNY,Nanoscale Engineering,26600,1.17,2016-2017,NA,nanoscale engineering
University of Southern California (USC),Keck School of Medicine,32000,1.24,2016-2017,1st,keck school of medicine
University of California - Davis (UCD),Food Science,22000,0.92,2016-2017,4th,food science
Tufts University (TU),Mechanical Engineering,23500,0.84,2016-2017,5th,mechanical engineering
Princeton University,Sociology,31000,1.22,2016-2017,1st,sociology
Northwestern University (NU),Philosophy,30889,1.27,2016-2017,4th,philosophy
University of California - Irvine (UCI),Environmental Health Sciences,22000,0.75,2016-2017,2nd,health
Harvard University (HU),Bioengineering,27000,0.94,2016-2017,1st,bioengineering
University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,25000,1.12,2015-2016,5th,biomedical engineering
University of California - San Francisco (UCSF),Biophysics,36000,1.2,2016-2017,1st,physics
Oregon State University (OSU),NA,21126,1.01,2016-2017,2nd,NA
Washington State University (WSU),Civil and Environmental Engineering,22384,1.18,2016-2017,4th,civil and environmental engineering
Northwestern University (NU),Literature,29900,1.23,2016-2017,4th,literature
Northeastern University (NU),History,33744,1.18,2016-2017,1st,history
University of California - Berkeley,Neuroscience,34500,1.24,2016-2017,2nd,neuro
Tulane University (TU),NA,20700,0.9,2016-2017,2nd,NA
San Diego State University (SDSU),biology,22500,0.85,2016-2017,2nd,biology
University of Illinois - Urbana- Champaign (UIUC),Crop Sciences,24400,1.41,2010-2011,2nd,agriculture
North Carolina State University (NCSU),Crop Science,22000,0.96,2016-2017,4th,agriculture
Pennsylvania State University (Penn State),Entomology,26500,1.18,2015-2016,6th and up,entomology
Ohio State University (OSU),Biological Sciences Graduate Program,27828,1.39,2016-2017,1st,biological sciences graduate program
East Carolina University (ECU),Microbiology and Immunology,22600,1.05,2016-2017,3rd,biology
University of Connecticut (UConn),Civil  engineering,20400,0.84,2016-2017,1st,civil  engineering
University of California - San Diego (UCSD),Phd,27000,1.02,2016-2017,1st,phd
Oakland University (OU),Biology,21000,1.01,2016-2017,1st,biology
Johns Hopkins University (JHU),Pharmacology,31000,1.21,2016-2017,1st,pharmacycology
University of Alabama - Birmingham (UAB),Chemistry,20500,0.95,2016-2017,4th,chemistry
Rutgers the State University of New Jersey - Newark,biomedical science,29600,1.09,2016-2017,1st,biomedical science
Florida Atlantic University (FAU),Geosciences,18000,0.75,2015-2016,4th,geoscience
University of Alabama - Birmingham (UAB),Civil engineering,24000,1.11,2016-2017,3rd,civil engineering
University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,22000,0.99,2016-2017,1st,biomedical engineering
University of Southern California (USC),Neuroscience (NGP),31000,1.2,2016-2017,5th,neuro
CUNY Graduate School and University Center,Psychology,34000,1.14,2016-2017,2nd,psychology
Utah State University (USU),Watershed Sciences,16800,0.81,2015-2016,2nd,watershed sciences
University of Pennsylvania,Biology,30000,1.24,2016-2017,5th,biology
University of Florida (UF),Electrical Engineering,23000,1.01,2016-2017,2nd,electrical engineering
Johns Hopkins University (JHU),biomedical engineering,31000,1.21,2016-2017,1st,biomedical engineering
Jackson State University (JSU),STEM,30000,1.48,2016-2017,6th and up,stem
Stony Brook University - SUNY,Computer Science,27000,0.97,2015-2016,2nd,computer science
Boston University (BU),Bioinformatics,32250,1.13,2016-2017,NA,bioinformatics
Massachusetts Institute of Technology (MIT),Biology,36000,1.29,2016-2017,2nd,biology
University of Louisville (U of L),Chemistry,21775,1.06,2016-2017,2nd,chemistry
Washington State University (WSU),Animal Science,12600,0.67,2016-2017,1st,animal science
University of Tennessee - Knoxville,"Soils, Plant and Insects",18800,1.02,2009-2010,1st,agriculture
Massachusetts Institute of Technology (MIT),Chemical engineering,37020,1.33,2016-2017,3rd,chemical engineering
University of California - Santa Cruz,Microbiology and Environmental toxiciology,29000,1.08,2016-2017,2nd,biology
Georgia State University (GSU),Neuroscience,25000,1.07,2016-2017,1st,neuro
Clemson University (CU),Civil Engineering,14100,0.78,2014-2015,3rd,civil engineering
University of Rochester (UR),Pharmacology,27000,1.26,2016-2017,5th,pharmacycology
University of Texas Health Science Center - Houston,Medical Physics,29500,1.35,2016-2017,4th,physics
University of South Carolina (USC),"pathology, microbiology and immunology",23000,1.02,2016-2017,NA,biology
Oregon Health and Science University,Neuroscience Graduate Program,29500,1.26,2016-2017,3rd,neuro
Harvard University (HU),DMS,38200,1.33,2016-2017,1st,dms
Vanderbilt University,Cell and Developmental Biology,28050,1.22,2016-2017,6th and up,biology
Georgia State University (GSU),Biology,21300,0.91,2016-2017,3rd,biology
University of Kentucky (UK),Physiology,25000,1.22,2016-2017,5th,physiology
University of Utah,Neurobiology and Anatomy/Neuroscience,27000,1.21,2016-2017,4th,biology
University of Georgia (UGA),Foods and Nutrition,16000,0.89,2014-2015,3rd,foods and nutrition
Michigan State University (MSU),Chemistry,25500,1.24,2016-2017,1st,chemistry
Pennsylvania State University (Penn State),Bioengineering,24654,1.1,2016-2017,1st,bioengineering
University of Georgia (UGA),Chemistry,19984,0.94,2016-2017,5th,chemistry
Georgia Institute of Technology (Georgia Tech),Aerospace,22700,0.97,2016-2017,1st,aerospace
University of Kansas (KU),Molecular and Integrative Physiology/PhD,23025,1.13,2016-2017,5th,molecular and integrative physiology/phd
University of Pennsylvania,English,30000,1.24,2016-2017,3rd,english
Drexel University (DU),Microbiology & mmunology,28000,1.16,2016-2017,5th,biology
University of Vermont (UVM),Pharmacology,26200,1.01,2016-2017,3rd,pharmacycology
Columbia University (CU),Microbiology and Immunology,37700,1.27,2016-2017,3rd,biology
University of Illinois - Chicago (UIC),Chemistry,25100,1.03,2016-2017,1st,chemistry
Columbia University (CU),Medical Campus,35100,1.18,2015-2016,1st,medical campus
University of California - San Francisco (UCSF),TETRAD,36000,1.2,2016-2017,4th,tetrad
Stanford University (SU),NA,36000,1.25,2016-2017,3rd,NA
Case Western Reserve University,Genetics,28500,1.43,2016-2017,1st,biology
University of California - Davis (UCD),Pharmacology & Toxicology,25000,1.04,2015-2016,2nd,pharmacycology & toxicology
Cornell University (CU),Chemistry,34000,1.4,2016-2017,1st,chemistry
Wesleyan University,Biology,30000,1.19,2016-2017,NA,biology
University of Utah,Biochemistry,27000,1.21,2016-2017,3rd,chemistry
Boston University (BU),Pharmacology,32500,1.13,2016-2017,1st,pharmacycology
University of California - Irvine (UCI),Pharmacology,30000,1.03,2015-2016,4th,pharmacycology
Indiana University,Microbiology and Immunology,23500,1.37,2013-2014,4th,biology
University of Florida (UF),Horticulture,20500,0.9,2016-2017,1st,horticulture
University of Texas - San Antonio (UTSA),Biology,26000,1.25,2016-2017,NA,biology
University of Missouri (MU),Chemistry,18500,1.16,2014-2015,5th,chemistry
Northeastern University (NU),Bioengineering,29750,1.04,2016-2017,4th,bioengineering
University at Buffalo - SUNY,Physiology,23200,1.26,2009-2010,1st,physiology
University of Iowa (UI),MNPC,26000,1.17,2016-2017,5th,mnpc
Oklahoma State University (OSU),Physiological Sciences,24084,1.24,2016-2017,3rd,physiological sciences
Ohio State University (OSU),Chemical and Biomolecular Engineering,27100,1.35,2016-2017,1st,chemical and biomolecular engineering
University of Maryland - Baltimore (UMB),Neuroscience,28000,1.09,2016-2017,1st,neuro
Thomas Jefferson University,NA,29000,1.2,2016-2017,6th and up,NA
University of Virginia (UVA),Pathology/BIMS,28500,1.25,2016-2017,3rd,pathology/bims
University of Minnesota - Twin Cities (UM),Micab,24100,1.2,2011-2012,4th,micab
University of Maryland - Baltimore (UMB),Molecular Microbiology and Immunology,29000,1.13,2016-2017,4th,biology
Wayne State University,Chemistry,25000,1.2,2016-2017,2nd,chemistry
SUNY Upstate Medical Center,Cell and Developmental Biology/College of Graduate Studies,24780,1.16,2016-2017,6th and up,biology
Washington University in St. Louis (Wash U),Biology and Biomedical Sciences,29500,1.43,2016-2017,3rd,biology
University of Rochester (UR),Biochemistry,27800,1.3,2016-2017,4th,chemistry
University of Washington (UW),Genome Sciences,30940,1.33,2016-2017,6th and up,genome sciences
University of California - Davis (UCD),Chemistry,27100,1.13,2016-2017,3rd,chemistry
Drexel University (DU),Engineering,25000,1.04,2016-2017,2nd,engineering
Duke University (DU),pathology,29561,1.33,2016-2017,4th,pathology
Vanderbilt University,Chemistry,33400,1.45,2016-2017,2nd,chemistry
University of Montana (UM),DBS,19400,0.88,2016-2017,3rd,dbs
University of Michigan - Ann Arbor (UM),Program in Biomedical Sciences,29000,1.26,2016-2017,2nd,program in biomedical sciences
Johns Hopkins University (JHU),Biomedical Engineeirng,32000,1.24,2016-2017,5th,biomedical engineeirng
University of Oregon (UO),Biology,25500,1.22,2016-2017,3rd,biology
University of Colorado - Denver (UCD),Molecular Biology,27500,1.23,2016-2017,2nd,biology
University at Buffalo - SUNY,structural biology,23700,1.13,2016-2017,2nd,biology
University of Illinois - Chicago (UIC),Pharmacology,29500,1.22,2016-2017,5th,pharmacycology
Rutgers the State University of New Jersey - New Brunswick,Neuroscience,29600,1.15,2016-2017,3rd,neuro
Louisiana State University School of Medicine - Shreveport,Cell Biology and Anatomy,23800,1.29,2009-2010,4th,biology
Louisiana State University School of Medicine - Shreveport,Cell Biology and Anatomy,23800,1.29,2008-2009,3rd,biology
Louisiana State University School of Medicine - Shreveport,Cell Biology and Anatomy,21800,1.18,2007-2008,2nd,biology
Louisiana State University School of Medicine - Shreveport,Cell Biology and Anatomy,18800,1.02,2006-2007,1st,biology
University of South Carolina (USC),Chemistry and Biochemistry,22890,1.01,2016-2017,3rd,chemistry
University of Pennsylvania,Biology Department,30000,1.24,2016-2017,3rd,biology
Emory University,Molecular and Systems Pharmacology,29175,1.25,2016-2017,2nd,pharmacycology
University of Washington (UW),Biochemistry,30400,1.31,2016-2017,1st,chemistry
Boston University (BU),Biology,31000,1.08,2016-2017,6th and up,biology
University of California - Los Angeles (UCLA),Ecology and Evolutionary Biology,26000,1,2016-2017,NA,biology
Washington University in St. Louis (Wash U),Division of Biomedical and Biological Sciences,29500,1.43,2016-2017,3rd,division of biomedical and biological sciences
University of California - Berkeley,Plant and Microbial Biology,34000,1.22,2016-2017,3rd,biology
University of Kentucky (UK),NA,23800,1.17,2016-2017,2nd,NA
Rutgers the State University of New Jersey - New Brunswick,Gsbs,29604,1.15,2016-2017,5th,gsbs
Washington University in St. Louis (Wash U),Neuroscience,29500,1.43,2016-2017,2nd,neuro
University of Texas - Austin (UT),Eeb,25000,1.1,2016-2017,1st,eeb
University of California - Santa Barbara (UCSB),MCDB,29900,1.14,2016-2017,3rd,mcdb
University of Texas Southwestern Medical Center - Dallas,Molecular microbiology,28000,1.45,2014-2015,5th,biology
Ohio University (OU),Chemistry and biochemistry,16500,0.79,2016-2017,3rd,chemistry
University of Texas - Austin (UT),Molecular and cell,30000,1.31,2016-2017,1st,biology
Boston University (BU),Biochemistry,32500,1.23,2014-2015,4th,chemistry
University of Colorado - Denver (UCD),Structural Biology and Biochemistry,28500,1.27,2016-2017,1st,biology
University of California - Riverside (UCR),Biomedical Sciences,30000,1.24,2016-2017,3rd,biomedical sciences
Thomas Jefferson University,Immunology,28970,1.2,2016-2017,1st,immunology
University of Georgia (UGA),Microbiology,21930,1.04,2016-2017,2nd,biology
Pennsylvania State University (Penn State),Bmmb,27889,1.24,2016-2017,1st,bmmb
Thomas Jefferson University,Biochemistry and Molecular Pharmacology,28000,1.16,2015-2016,6th and up,pharmacycology
University of Pennsylvania,Cell and Molecular BIology,30000,1.24,2016-2017,6th and up,biology
Stanford University (SU),Biosciences,42000,1.46,2016-2017,1st,biosciences
Ohio University (OU),Biological Sciences,21520,1.03,2016-2017,5th,biological sciences
Columbia University (CU),Pathology,37224,1.25,2016-2017,2nd,pathology
West Virginia University (WVU),health sciences,30000,1.34,2015-2016,4th,health
Harvard University (HU),Biological and Biomedical Sciences,36670,1.28,2016-2017,2nd,biological and biomedical sciences
Stony Brook University - SUNY,Geosciences,28270,1.04,2014-2015,1st,geoscience
University of California - San Diego (UCSD),Chemistry and Biochemistry,29000,1.1,2016-2017,4th,chemistry
